"time","bin","user"
3,"Low","Raven_5836"
4,"Low","Raven_5836"
5,"Low","Raven_5836"
1,"Low","Scott_2906"
2,"Low","Scott_2906"
3,"Low","Scott_2906"
4,"Low","Scott_2906"
5,"Low","Scott_2906"
1,"Low","Tanner_3719"
2,"Low","Tanner_3719"
3,"Low","Tanner_3719"
4,"Low","Tanner_3719"
5,"Med","Tanner_3719"
1,"Low","Tanner_8311"
2,"Low","Tanner_8311"
3,"Low","Tanner_8311"
4,"Low","Tanner_8311"
5,"Low","Tanner_8311"
1,"Low","Willie_4763"
2,"Low","Willie_4763"
3,"Low","Willie_4763"
4,"Med","Willie_4763"
5,"Low","Willie_4763"
1,"Med","Willie_6658"
2,"Low","Willie_6658"
3,"Low","Willie_6658"
4,"Low","Willie_6658"
5,"High","Willie_6658"
1,"Low","Willie_8565"
2,"High","Willie_8565"
3,"Low","Willie_8565"
4,"Low","Willie_8565"
5,"Low","Willie_8565"
