"MTurk_ID","username","id","Role","survey","mentions"
"AEOVYZ83Q3GX4","Logan_2218",2301,"observer",1,0
"AEOVYZ83Q3GX4","Logan_2218",2301,"observer",2,0
"AEOVYZ83Q3GX4","Logan_2218",2301,"observer",3,0
"AEOVYZ83Q3GX4","Logan_2218",2301,"observer",4,0
"AEOVYZ83Q3GX4","Logan_2218",2301,"observer",5,0
"A2HJYX70UQW9XR","Logan_3614",2330,"observer",1,0
"A2HJYX70UQW9XR","Logan_3614",2330,"observer",2,0
"A2HJYX70UQW9XR","Logan_3614",2330,"observer",3,0
"A2HJYX70UQW9XR","Logan_3614",2330,"observer",4,0
"A2HJYX70UQW9XR","Logan_3614",2330,"observer",5,0
"A3RVHUY67SVXQV","Lucas_1743",2679,"participant",1,3
"A3RVHUY67SVXQV","Lucas_1743",2679,"participant",2,0
"A3RVHUY67SVXQV","Lucas_1743",2679,"participant",3,1
"A3RVHUY67SVXQV","Lucas_1743",2679,"participant",4,0
"A3RVHUY67SVXQV","Lucas_1743",2679,"participant",5,0
"A53S7J4JGWG38","Lucas_391",2610,"participant",1,0
"A53S7J4JGWG38","Lucas_391",2610,"participant",2,0
"A53S7J4JGWG38","Lucas_391",2610,"participant",3,1
"A53S7J4JGWG38","Lucas_391",2610,"participant",4,0
"A53S7J4JGWG38","Lucas_391",2610,"participant",5,1
"A2MPOAEQ25ZJAD","Luke_2004",2570,"participant",2,0
"A2MPOAEQ25ZJAD","Luke_2004",2570,"participant",5,0
"A3L9K9DZI8LFM4","Luke_2724",2620,"participant",1,0
"A3L9K9DZI8LFM4","Luke_2724",2620,"participant",2,0
"A3L9K9DZI8LFM4","Luke_2724",2620,"participant",3,1
"A3L9K9DZI8LFM4","Luke_2724",2620,"participant",4,1
"A3L9K9DZI8LFM4","Luke_2724",2620,"participant",5,0
"A15F2JTVAJXITI","Luke_3376",2297,"observer",1,0
"A15F2JTVAJXITI","Luke_3376",2297,"observer",2,0
"A15F2JTVAJXITI","Luke_3376",2297,"observer",3,0
"A15F2JTVAJXITI","Luke_3376",2297,"observer",4,0
"A15F2JTVAJXITI","Luke_3376",2297,"observer",5,0
"A3OHYXTHW11HS7","Luke_3460",2575,"participant",1,0
"A3OHYXTHW11HS7","Luke_3460",2575,"participant",2,3
"A3OHYXTHW11HS7","Luke_3460",2575,"participant",3,4
"A3OHYXTHW11HS7","Luke_3460",2575,"participant",4,2
"A3OHYXTHW11HS7","Luke_3460",2575,"participant",5,1
"ARZ8RD515W6E0","Luke_7423",2657,"participant",1,0
"ARZ8RD515W6E0","Luke_7423",2657,"participant",2,0
"ARZ8RD515W6E0","Luke_7423",2657,"participant",5,0
"AY6EYIDUN6SI1","Luke_8468",2337,"observer",1,0
"AY6EYIDUN6SI1","Luke_8468",2337,"observer",2,0
"AY6EYIDUN6SI1","Luke_8468",2337,"observer",3,0
"AY6EYIDUN6SI1","Luke_8468",2337,"observer",4,0
"A2EED3HLTA96CP","Luke_88",2691,"participant",1,0
