id|query|createdAt|updatedAt|UserId
161|covid|2020-09-03 13:09:35.806+00|2020-09-03 13:09:35.806+00|1976
162|covid|2020-09-03 13:10:02.215+00|2020-09-03 13:10:02.215+00|1976
163|trump|2020-09-03 13:14:45.731+00|2020-09-03 13:14:45.731+00|2326
164|president|2020-09-03 13:15:00.164+00|2020-09-03 13:15:00.164+00|2326
165|covid|2020-09-03 13:15:09.599+00|2020-09-03 13:15:09.599+00|2326
166|""|2020-09-03 13:15:40.307+00|2020-09-03 13:15:40.307+00|2358
167|covid|2020-09-03 13:16:14.559+00|2020-09-03 13:16:14.559+00|2326
168|covid|2020-09-03 13:17:30.05+00|2020-09-03 13:17:30.05+00|2326
169|""|2020-09-03 13:19:22.483+00|2020-09-03 13:19:22.483+00|2358
170|covid|2020-09-03 13:19:53.988+00|2020-09-03 13:19:53.988+00|2326
171|covid|2020-09-03 13:22:04.58+00|2020-09-03 13:22:04.58+00|2326
172|SURVEY|2020-09-03 13:22:18.281+00|2020-09-03 13:22:18.281+00|2358
173|jacob|2020-09-03 13:28:08.756+00|2020-09-03 13:28:08.756+00|2559
174|jacob|2020-09-03 13:29:34.437+00|2020-09-03 13:29:34.437+00|2559
175|jacob|2020-09-03 13:32:10.272+00|2020-09-03 13:32:10.272+00|2559
176|jacob|2020-09-03 13:32:27.993+00|2020-09-03 13:32:27.993+00|2559
177|jacob|2020-09-03 13:32:44.882+00|2020-09-03 13:32:44.882+00|2559
178|jacob|2020-09-03 13:32:59.497+00|2020-09-03 13:32:59.497+00|2559
179|emily|2020-09-03 13:35:13.512+00|2020-09-03 13:35:13.512+00|2559
180|emily|2020-09-03 13:35:24.767+00|2020-09-03 13:35:24.767+00|2559
181|emily|2020-09-03 13:35:29.009+00|2020-09-03 13:35:29.009+00|2559
182|emily|2020-09-03 13:35:33.679+00|2020-09-03 13:35:33.679+00|2559
183|emily|2020-09-03 13:36:50.709+00|2020-09-03 13:36:50.709+00|2559
184|emily|2020-09-03 13:36:55.537+00|2020-09-03 13:36:55.537+00|2559
185|emily|2020-09-03 13:36:59.175+00|2020-09-03 13:36:59.175+00|2559
186|emily|2020-09-03 13:37:01.531+00|2020-09-03 13:37:01.531+00|2559
187|emily|2020-09-03 13:37:03.609+00|2020-09-03 13:37:03.609+00|2559
188|emily|2020-09-03 13:37:08.655+00|2020-09-03 13:37:08.655+00|2559
189|emily|2020-09-03 13:37:12.457+00|2020-09-03 13:37:12.457+00|2559
190|emily|2020-09-03 13:37:16.455+00|2020-09-03 13:37:16.455+00|2559
191|emily|2020-09-03 13:37:24.62+00|2020-09-03 13:37:24.62+00|2559
192|jack|2020-09-03 13:39:09.194+00|2020-09-03 13:39:09.194+00|2559
193|jack|2020-09-03 13:39:18.656+00|2020-09-03 13:39:18.656+00|2559
