"MTurk_ID","username","id","Role","survey","mentions","per_rank"
"A25ZOL1H79DW0P","Heather_3855",2328,"observer",1,0,0
"A25ZOL1H79DW0P","Heather_3855",2328,"observer",2,0,0
"A25ZOL1H79DW0P","Heather_3855",2328,"observer",3,0,0
"A25ZOL1H79DW0P","Heather_3855",2328,"observer",4,0,0
"A25ZOL1H79DW0P","Heather_3855",2328,"observer",5,0,0
"A33Z6BHAJUGCHY","Heather_6067",2324,"observer",1,0,0
"A33Z6BHAJUGCHY","Heather_6067",2324,"observer",2,0,0
"A33Z6BHAJUGCHY","Heather_6067",2324,"observer",3,0,0
"A33Z6BHAJUGCHY","Heather_6067",2324,"observer",4,0,0
"A33Z6BHAJUGCHY","Heather_6067",2324,"observer",5,0,0
"AKSJ3C5O3V9RB","Heather_6355",2709,"participant",1,0,0
"AKSJ3C5O3V9RB","Heather_6355",2709,"participant",2,0,0
"AKSJ3C5O3V9RB","Heather_6355",2709,"participant",3,1,0.808695652173913
"AKSJ3C5O3V9RB","Heather_6355",2709,"participant",4,1,0.817391304347826
"AKSJ3C5O3V9RB","Heather_6355",2709,"participant",5,0,0
"AFO9MCOXXSYY7","Heather_8069",2352,"observer",1,0,0
"AFO9MCOXXSYY7","Heather_8069",2352,"observer",2,0,0
"AFO9MCOXXSYY7","Heather_8069",2352,"observer",3,0,0
"AFO9MCOXXSYY7","Heather_8069",2352,"observer",4,0,0
"AFO9MCOXXSYY7","Heather_8069",2352,"observer",5,0,0
"AJMWTFJTL8RLM","Holly_1739",2288,"observer",1,0,0
"AJMWTFJTL8RLM","Holly_1739",2288,"observer",2,0,0
"AJMWTFJTL8RLM","Holly_1739",2288,"observer",3,0,0
"AJMWTFJTL8RLM","Holly_1739",2288,"observer",4,0,0
"AJMWTFJTL8RLM","Holly_1739",2288,"observer",5,0,0
"A247TCDIBB07JC","Holly_2257",2457,"sockpuppet",1,0,0
"A247TCDIBB07JC","Holly_2257",2457,"sockpuppet",2,0,0
"A247TCDIBB07JC","Holly_2257",2457,"sockpuppet",3,0,0
"A247TCDIBB07JC","Holly_2257",2457,"sockpuppet",4,0,0
"A247TCDIBB07JC","Holly_2257",2457,"sockpuppet",5,0,0
"A3PRFA3M7OSCT5","Jack_5128",2622,"participant",1,1,0.834782608695652
"A3PRFA3M7OSCT5","Jack_5128",2622,"participant",2,1,0.826086956521739
"A3PRFA3M7OSCT5","Jack_5128",2622,"participant",3,6,0.991304347826087
"A3PRFA3M7OSCT5","Jack_5128",2622,"participant",4,3,0.921739130434783
"A3PRFA3M7OSCT5","Jack_5128",2622,"participant",5,0,0
"A3GTPW3MYSLMR7","Jack_7615",2317,"observer",1,0,0
"A3GTPW3MYSLMR7","Jack_7615",2317,"observer",2,0,0
"A3GTPW3MYSLMR7","Jack_7615",2317,"observer",3,0,0
"A3GTPW3MYSLMR7","Jack_7615",2317,"observer",4,0,0
"A3GTPW3MYSLMR7","Jack_7615",2317,"observer",5,0,0
"A2MYLV7DGUL42B","Jack_9559",2560,"sockpuppet",1,0,0
"A2MYLV7DGUL42B","Jack_9559",2560,"sockpuppet",2,0,0
"A2MYLV7DGUL42B","Jack_9559",2560,"sockpuppet",3,0,0
"A2MYLV7DGUL42B","Jack_9559",2560,"sockpuppet",4,0,0
"A2MYLV7DGUL42B","Jack_9559",2560,"sockpuppet",5,0,0
"A10IUXCZBNYUXC","Jacob_1907",2658,"participant",1,5,0.982608695652174
"A10IUXCZBNYUXC","Jacob_1907",2658,"participant",2,7,0.991304347826087
"A10IUXCZBNYUXC","Jacob_1907",2658,"participant",3,1,0.808695652173913
"A10IUXCZBNYUXC","Jacob_1907",2658,"participant",4,4,0.973913043478261
"A10IUXCZBNYUXC","Jacob_1907",2658,"participant",5,2,0.947826086956522
"ARHBT4K14I7U","Jacob_5169",2319,"observer",1,0,0
"ARHBT4K14I7U","Jacob_5169",2319,"observer",2,0,0
"ARHBT4K14I7U","Jacob_5169",2319,"observer",3,0,0
"ARHBT4K14I7U","Jacob_5169",2319,"observer",4,0,0
"ARHBT4K14I7U","Jacob_5169",2319,"observer",5,0,0
"ARI1EMAHUA9PO","Jacob_5538",2529,"sockpuppet",1,0,0
"ARI1EMAHUA9PO","Jacob_5538",2529,"sockpuppet",2,0,0
"ARI1EMAHUA9PO","Jacob_5538",2529,"sockpuppet",3,0,0
"ARI1EMAHUA9PO","Jacob_5538",2529,"sockpuppet",4,0,0
"ARI1EMAHUA9PO","Jacob_5538",2529,"sockpuppet",5,0,0
"AJZEXCH1TSUE1","Jacob_5910",2654,"participant",1,3,0.947826086956522
"AJZEXCH1TSUE1","Jacob_5910",2654,"participant",2,0,0
"AJZEXCH1TSUE1","Jacob_5910",2654,"participant",3,0,0
"AJZEXCH1TSUE1","Jacob_5910",2654,"participant",4,0,0
"AJZEXCH1TSUE1","Jacob_5910",2654,"participant",5,0,0
"A2MYLV7DGUL42B","Jacob_7601",2558,"sockpuppet",1,0,0
"A2MYLV7DGUL42B","Jacob_7601",2558,"sockpuppet",2,0,0
"A2MYLV7DGUL42B","Jacob_7601",2558,"sockpuppet",3,0,0
"A2MYLV7DGUL42B","Jacob_7601",2558,"sockpuppet",4,0,0
"A2MYLV7DGUL42B","Jacob_7601",2558,"sockpuppet",5,0,0
"A1H7XQCN2TQJM7","Jacob_9608",2342,"observer",1,0,0
"A1H7XQCN2TQJM7","Jacob_9608",2342,"observer",2,0,0
"A1H7XQCN2TQJM7","Jacob_9608",2342,"observer",3,0,0
"A1H7XQCN2TQJM7","Jacob_9608",2342,"observer",4,0,0
"A1H7XQCN2TQJM7","Jacob_9608",2342,"observer",5,0,0
"A2WUXZOY4CRF5R","Jake_1468",2275,"observer",1,0,0
"A2WUXZOY4CRF5R","Jake_1468",2275,"observer",2,0,0
"A2WUXZOY4CRF5R","Jake_1468",2275,"observer",3,0,0
"A2WUXZOY4CRF5R","Jake_1468",2275,"observer",4,0,0
"A2WUXZOY4CRF5R","Jake_1468",2275,"observer",5,0,0
"ARR3UJTM2ZGK4","Jake_5852",2734,"participant",1,0,0
"ARR3UJTM2ZGK4","Jake_5852",2734,"participant",2,0,0
"ARR3UJTM2ZGK4","Jake_5852",2734,"participant",3,0,0
"ARR3UJTM2ZGK4","Jake_5852",2734,"participant",4,0,0
"ARR3UJTM2ZGK4","Jake_5852",2734,"participant",5,0,0
"A2A6FH0F7LD9ND","Jake_8222",2426,"sockpuppet",1,0,0
"A2A6FH0F7LD9ND","Jake_8222",2426,"sockpuppet",2,0,0
"A2A6FH0F7LD9ND","Jake_8222",2426,"sockpuppet",3,0,0
"A2A6FH0F7LD9ND","Jake_8222",2426,"sockpuppet",4,0,0
"A2A6FH0F7LD9ND","Jake_8222",2426,"sockpuppet",5,0,0
"AE1YA7Q3UKPRI","Jamal_263",2299,"observer",1,0,0
"AE1YA7Q3UKPRI","Jamal_263",2299,"observer",2,0,0
"AE1YA7Q3UKPRI","Jamal_263",2299,"observer",3,0,0
"AE1YA7Q3UKPRI","Jamal_263",2299,"observer",4,0,0
"AE1YA7Q3UKPRI","Jamal_263",2299,"observer",5,0,0
"ARI1EMAHUA9PO","Jamal_3690",2531,"sockpuppet",1,0,0
"ARI1EMAHUA9PO","Jamal_3690",2531,"sockpuppet",2,0,0
"ARI1EMAHUA9PO","Jamal_3690",2531,"sockpuppet",3,0,0
"ARI1EMAHUA9PO","Jamal_3690",2531,"sockpuppet",4,0,0
"ARI1EMAHUA9PO","Jamal_3690",2531,"sockpuppet",5,0,0
"APRZ7BR8C0ZMQ","Jamal_4473",2391,"sockpuppet",1,0,0
"APRZ7BR8C0ZMQ","Jamal_4473",2391,"sockpuppet",2,0,0
"APRZ7BR8C0ZMQ","Jamal_4473",2391,"sockpuppet",3,0,0
"APRZ7BR8C0ZMQ","Jamal_4473",2391,"sockpuppet",4,0,0
"APRZ7BR8C0ZMQ","Jamal_4473",2391,"sockpuppet",5,0,0
"A2OX8TSRCU6NKD","Jamal_5796",2649,"participant",1,0,0
"A2OX8TSRCU6NKD","Jamal_5796",2649,"participant",2,0,0
"A2OX8TSRCU6NKD","Jamal_5796",2649,"participant",3,0,0
"A2OX8TSRCU6NKD","Jamal_5796",2649,"participant",4,1,0.817391304347826
"A2OX8TSRCU6NKD","Jamal_5796",2649,"participant",5,0,0
"A2DDLZD87UHANI","Jamal_8048",2544,"sockpuppet",1,0,0
"A2DDLZD87UHANI","Jamal_8048",2544,"sockpuppet",2,0,0
"A2DDLZD87UHANI","Jamal_8048",2544,"sockpuppet",3,4,0.947826086956522
"A2DDLZD87UHANI","Jamal_8048",2544,"sockpuppet",4,0,0
"A2DDLZD87UHANI","Jamal_8048",2544,"sockpuppet",5,0,0
"A3EYRDEQ7CXUMN","Jenna_214",2593,"participant",1,6,1
"A3EYRDEQ7CXUMN","Jenna_214",2593,"participant",2,1,0.826086956521739
"A3EYRDEQ7CXUMN","Jenna_214",2593,"participant",3,2,0.921739130434783
"A3EYRDEQ7CXUMN","Jenna_214",2593,"participant",4,3,0.921739130434783
"A3EYRDEQ7CXUMN","Jenna_214",2593,"participant",5,0,0
"A36GU3OHGLDS8R","Jenna_2905",2341,"observer",1,0,0
"A36GU3OHGLDS8R","Jenna_2905",2341,"observer",2,0,0
"A36GU3OHGLDS8R","Jenna_2905",2341,"observer",3,0,0
"A36GU3OHGLDS8R","Jenna_2905",2341,"observer",4,0,0
"A36GU3OHGLDS8R","Jenna_2905",2341,"observer",5,0,0
"A2A6FH0F7LD9ND","Jenna_3798",2422,"sockpuppet",1,0,0
"A2A6FH0F7LD9ND","Jenna_3798",2422,"sockpuppet",2,0,0
"A2A6FH0F7LD9ND","Jenna_3798",2422,"sockpuppet",3,0,0
"A2A6FH0F7LD9ND","Jenna_3798",2422,"sockpuppet",4,0,0
"A2A6FH0F7LD9ND","Jenna_3798",2422,"sockpuppet",5,0,0
"A3FBC5W56LKQXL","Jenna_4354",2623,"participant",1,0,0
"A3FBC5W56LKQXL","Jenna_4354",2623,"participant",2,0,0
"A3FBC5W56LKQXL","Jenna_4354",2623,"participant",3,0,0
"A3FBC5W56LKQXL","Jenna_4354",2623,"participant",4,0,0
